Freq (Hz)	Coh_Microphone/Source
484.000000000000060E+0	293.242283652878740E-3
485.000000000000060E+0	471.696368461522460E-3
486.000000000000060E+0	793.642667029947010E-3
487.000000000000060E+0	868.009999948523460E-3
488.000000000000060E+0	379.966032085617520E-3
489.000000000000060E+0	146.373865361878570E-3
490.000000000000060E+0	173.332771447164580E-3
491.000000000000060E+0	99.573824648622522E-3
492.000000000000060E+0	78.014740506798005E-3
493.000000000000060E+0	731.911857448941490E-3
494.000000000000060E+0	645.680292420271700E-3
495.000000000000060E+0	754.868043903521580E-3
496.000000000000060E+0	441.061798620697050E-3
497.000000000000060E+0	95.120914120207609E-3
498.000000000000060E+0	652.134675224650740E-3
499.000000000000060E+0	234.194988849931900E-3
500.000000000000060E+0	225.676783118019610E-3
501.000000000000060E+0	437.686294250106970E-3
502.000000000000060E+0	789.282689643704520E-3
503.000000000000060E+0	772.049070885391320E-3
504.000000000000060E+0	78.613745510284022E-3
505.000000000000060E+0	171.670013704901950E-3
506.000000000000060E+0	690.455983158711710E-3
507.000000000000060E+0	358.661968241145380E-3
508.000000000000060E+0	61.413495788024505E-3
509.000000000000060E+0	678.260899743603930E-3
510.000000000000060E+0	267.728478463868210E-3
511.000000000000060E+0	387.236309289816390E-3
512.000000000000110E+0	427.930940687740960E-3
513.000000000000110E+0	708.405676185132280E-3
514.000000000000110E+0	810.100845150271700E-3
515.000000000000110E+0	669.034601602644050E-3
516.000000000000110E+0	772.021201395392650E-3
517.000000000000110E+0	909.031658537033830E-3
518.000000000000110E+0	617.890752056421190E-3
519.000000000000110E+0	7.642255404955122E-3
520.000000000000110E+0	831.026680291765300E-3
521.000000000000110E+0	663.521606651494730E-3
522.000000000000110E+0	715.424467350680220E-3
523.000000000000110E+0	192.245901270900380E-3
524.000000000000110E+0	479.468716852681220E-3
525.000000000000110E+0	475.540040462658240E-3
526.000000000000110E+0	520.201002036223440E-3
527.000000000000110E+0	428.760600835485390E-3
528.000000000000110E+0	554.224748907887640E-3
529.000000000000110E+0	581.071560363752740E-3
530.000000000000110E+0	510.869668480603000E-3
531.000000000000110E+0	200.303917020257100E-3
532.000000000000110E+0	168.606905594009120E-3
533.000000000000110E+0	179.199137800443610E-3
534.000000000000110E+0	100.411515704949720E-3
535.000000000000110E+0	108.103368713741380E-3
536.000000000000110E+0	255.589965879882700E-3
537.000000000000110E+0	627.486855666262610E-3
538.000000000000110E+0	764.096151651657900E-3
539.000000000000110E+0	178.957023630426840E-3
540.000000000000110E+0	86.737770568096631E-3
541.000000000000110E+0	869.202758841346120E-3
542.000000000000110E+0	629.728690907346950E-3
543.000000000000110E+0	556.169243572534060E-3
544.000000000000110E+0	15.383241507655233E-3
545.000000000000110E+0	732.112230553282340E-3
546.000000000000110E+0	350.404895226642810E-3
547.000000000000110E+0	674.749443596541540E-3
548.000000000000110E+0	626.582529509108310E-3
549.000000000000110E+0	703.219657677273680E-3
550.000000000000110E+0	783.867939398063430E-3
551.000000000000110E+0	822.420945223696800E-3
552.000000000000110E+0	854.950172060310540E-3
553.000000000000110E+0	415.785929588598780E-3
554.000000000000110E+0	532.297153071596420E-3
555.000000000000110E+0	720.434078359927570E-3
556.000000000000110E+0	527.048491155589940E-3
557.000000000000110E+0	287.036827039984340E-3
558.000000000000110E+0	902.794641012822140E-3
559.000000000000110E+0	892.879649517474120E-3
560.000000000000110E+0	736.815623582234620E-3
561.000000000000110E+0	422.335261883172720E-3
562.000000000000110E+0	761.790933261956680E-3
563.000000000000110E+0	795.434774392941300E-3
564.000000000000110E+0	488.783172000278760E-3
565.000000000000110E+0	554.719567874270570E-3
566.000000000000110E+0	770.039540552769570E-3
567.000000000000110E+0	822.777769680016260E-3
568.000000000000110E+0	690.476902556918510E-3
569.000000000000110E+0	559.628604983243850E-3
570.000000000000110E+0	696.015234308110520E-3
571.000000000000110E+0	660.050957295017840E-3
572.000000000000110E+0	898.953200966763340E-3
573.000000000000110E+0	753.365240317145130E-3
574.000000000000110E+0	852.565336098453860E-3
575.000000000000110E+0	391.188097909101860E-3
576.000000000000110E+0	249.457119519528120E-3
577.000000000000110E+0	716.200093445306000E-3
578.000000000000110E+0	636.755938224039530E-3
579.000000000000110E+0	708.737171650165810E-3
580.000000000000110E+0	535.250638332303800E-3
581.000000000000110E+0	275.288983673280580E-3
582.000000000000110E+0	836.345608333455500E-3
583.000000000000110E+0	824.382458115821340E-3
584.000000000000110E+0	120.685680538869010E-3
585.000000000000110E+0	853.060503124244530E-3
586.000000000000110E+0	740.821189238271120E-3
587.000000000000110E+0	757.005560575724660E-3
588.000000000000110E+0	760.619171509620550E-3
589.000000000000110E+0	180.607740163609670E-3
590.000000000000110E+0	643.687259030728320E-3
591.000000000000110E+0	152.781956421622480E-3
592.000000000000110E+0	40.739710769643278E-3
593.000000000000110E+0	872.913006508162280E-3
594.000000000000110E+0	676.098911084761390E-3
595.000000000000110E+0	639.966513640486290E-3
596.000000000000110E+0	44.770581582060653E-3
597.000000000000110E+0	809.885148455351200E-3
598.000000000000110E+0	792.103471525287260E-3
599.000000000000110E+0	487.069404505318660E-3
600.000000000000110E+0	324.154617865868740E-3
601.000000000000110E+0	192.557344609818100E-3
602.000000000000110E+0	819.978481580714180E-3
603.000000000000110E+0	906.269309276740540E-3
604.000000000000110E+0	225.022811729495290E-3
605.000000000000110E+0	764.683537590041260E-3
606.000000000000110E+0	727.915916159872060E-3
607.000000000000110E+0	266.532705974108770E-3
608.000000000000110E+0	783.741801700008070E-3
609.000000000000110E+0	779.794507814424050E-3
610.000000000000110E+0	847.713689628739390E-3
611.000000000000110E+0	913.299387109643980E-3
612.000000000000110E+0	882.748120057200270E-3
613.000000000000110E+0	897.853063455503750E-3
614.000000000000110E+0	804.399433659504390E-3
615.000000000000110E+0	192.959250860037180E-3
616.000000000000110E+0	699.672637550913130E-3
617.000000000000110E+0	775.923117165806090E-3
618.000000000000110E+0	796.678907580407710E-3
619.000000000000110E+0	884.005253497640140E-3
620.000000000000110E+0	865.801429275331550E-3
621.000000000000110E+0	828.090793715676950E-3
622.000000000000110E+0	855.024656829394440E-3
623.000000000000110E+0	223.280700115253420E-3
624.000000000000110E+0	636.160092349198120E-3
625.000000000000110E+0	778.173167536706180E-3
626.000000000000110E+0	564.618984130148440E-3
627.000000000000110E+0	567.213848145231350E-3
628.000000000000110E+0	913.718380631631350E-3
629.000000000000110E+0	802.592817551491370E-3
630.000000000000110E+0	522.094270466507800E-3
631.000000000000110E+0	608.126627397034380E-3
632.000000000000110E+0	555.196236959368590E-3
633.000000000000110E+0	812.198918157994720E-3
634.000000000000110E+0	464.548993427832730E-3
635.000000000000110E+0	729.056376066957610E-3
636.000000000000110E+0	975.834296515781460E-3
637.000000000000110E+0	730.547398829342280E-3
638.000000000000110E+0	581.500838527659210E-3
639.000000000000110E+0	793.578810983305290E-3
640.000000000000110E+0	716.160305473802380E-3
641.000000000000110E+0	705.325803935180630E-3
642.000000000000110E+0	438.948521475447550E-3
643.000000000000110E+0	619.734876212793000E-3
644.000000000000110E+0	564.837647359381910E-3
645.000000000000110E+0	8.379563185140895E-3
646.000000000000110E+0	215.437972178913890E-3
647.000000000000110E+0	756.119010285161490E-3
648.000000000000110E+0	400.070663746221630E-3
649.000000000000110E+0	499.556813632156480E-3
650.000000000000110E+0	637.637823346075110E-3
